IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
108.162.198.165,4,4,0.00,107.74,10.38,NRT
162.159.38.22,4,4,0.00,95.54,10.34,NRT
172.64.52.139,4,4,0.00,91.51,9.62,NRT
162.159.19.88,4,4,0.00,107.94,9.41,SIN
172.64.32.151,4,4,0.00,107.82,8.52,SIN
162.159.24.92,4,4,0.00,109.87,7.59,SIN
162.159.10.203,4,4,0.00,108.70,7.23,SIN
172.64.48.236,4,4,0.00,109.78,6.71,SIN
172.64.229.48,4,4,0.00,108.65,4.15,NRT
172.64.53.162,4,4,0.00,80.87,1.91,NRT
104.24.229.251,4,4,0.00,228.99,0.00,N/A
162.159.50.75,4,4,0.00,145.02,0.00,N/A
162.159.16.87,4,4,0.00,112.99,0.00,N/A
172.64.41.241,4,4,0.00,113.35,0.00,N/A
173.245.58.254,4,4,0.00,113.43,0.00,N/A
172.64.47.170,4,4,0.00,113.86,0.00,N/A
162.159.15.219,4,4,0.00,113.87,0.00,N/A
162.159.21.142,4,4,0.00,113.90,0.00,N/A
162.159.11.95,4,4,0.00,113.93,0.00,N/A
198.41.211.182,4,4,0.00,114.03,0.00,N/A
198.41.223.190,4,4,0.00,114.05,0.00,N/A
162.159.0.20,4,4,0.00,114.06,0.00,N/A
162.159.2.129,4,4,0.00,114.45,0.00,N/A
162.159.20.50,4,4,0.00,114.53,0.00,N/A
162.159.1.34,4,4,0.00,114.62,0.00,N/A
162.159.39.137,4,4,0.00,114.68,0.00,N/A
172.64.46.217,4,4,0.00,114.86,0.00,N/A
108.162.193.226,4,4,0.00,114.90,0.00,N/A
162.159.45.21,4,4,0.00,114.97,0.00,N/A
162.159.4.80,4,4,0.00,115.67,0.00,N/A
162.159.6.10,4,4,0.00,116.85,0.00,N/A
162.159.41.236,4,4,0.00,116.91,0.00,N/A
162.159.17.170,4,4,0.00,117.27,0.00,N/A
162.159.43.167,4,4,0.00,117.32,0.00,N/A
162.159.22.22,4,4,0.00,117.39,0.00,N/A
172.64.38.233,4,4,0.00,117.46,0.00,N/A
162.159.9.156,4,4,0.00,117.56,0.00,N/A
162.159.44.209,4,4,0.00,118.20,0.00,N/A
162.159.40.0,4,4,0.00,118.20,0.00,N/A
162.159.5.208,4,4,0.00,118.32,0.00,N/A
162.159.34.60,4,4,0.00,118.44,0.00,N/A
173.245.59.188,4,4,0.00,118.50,0.00,N/A
162.159.12.158,4,4,0.00,118.51,0.00,N/A
162.159.3.141,4,4,0.00,118.69,0.00,N/A
162.159.33.23,4,4,0.00,118.83,0.00,N/A
162.159.36.24,4,4,0.00,119.00,0.00,N/A
172.64.49.88,4,4,0.00,119.07,0.00,N/A
172.64.42.65,4,4,0.00,119.33,0.00,N/A
172.64.40.202,4,4,0.00,119.86,0.00,N/A
162.159.14.121,4,4,0.00,120.52,0.00,N/A
162.159.13.46,4,4,0.00,120.74,0.00,N/A
172.64.50.177,4,4,0.00,120.88,0.00,N/A
162.159.32.216,4,4,0.00,121.56,0.00,N/A
162.159.35.38,4,4,0.00,122.30,0.00,N/A
162.159.18.95,4,4,0.00,122.49,0.00,N/A
104.18.44.95,4,4,0.00,122.55,0.00,N/A
108.162.195.28,4,4,0.00,122.65,0.00,N/A
108.162.196.199,4,4,0.00,122.79,0.00,N/A
108.162.194.126,4,4,0.00,124.95,0.00,N/A
172.64.37.225,4,4,0.00,125.00,0.00,N/A
162.159.7.32,4,4,0.00,125.25,0.00,N/A
104.18.41.202,4,4,0.00,125.48,0.00,N/A
162.159.25.109,4,4,0.00,125.61,0.00,N/A
162.159.27.230,4,4,0.00,126.16,0.00,N/A
104.18.36.48,4,4,0.00,126.96,0.00,N/A
162.159.26.147,4,4,0.00,127.58,0.00,N/A
198.41.222.152,4,4,0.00,127.62,0.00,N/A
172.64.35.3,4,4,0.00,127.71,0.00,N/A
104.18.43.129,4,4,0.00,128.33,0.00,N/A
162.159.49.198,4,4,0.00,129.45,0.00,N/A
162.159.46.62,4,4,0.00,130.48,0.00,N/A
104.18.32.39,4,4,0.00,131.78,0.00,N/A
104.18.34.111,4,4,0.00,132.86,0.00,N/A
104.18.40.32,4,4,0.00,135.25,0.00,N/A
104.18.35.19,4,4,0.00,135.97,0.00,N/A
172.64.158.181,4,4,0.00,138.01,0.00,N/A
172.64.33.210,4,4,0.00,138.47,0.00,N/A
172.64.153.172,4,4,0.00,138.60,0.00,N/A
104.18.39.201,4,4,0.00,139.26,0.00,N/A
172.64.34.247,4,4,0.00,139.75,0.00,N/A
162.159.51.226,4,4,0.00,140.36,0.00,N/A
104.18.37.82,4,4,0.00,141.25,0.00,N/A
172.64.148.206,4,4,0.00,141.78,0.00,N/A
104.18.45.195,4,4,0.00,142.11,0.00,N/A
172.64.149.250,4,4,0.00,143.02,0.00,N/A
104.18.47.250,4,4,0.00,143.61,0.00,N/A
162.159.48.132,4,4,0.00,143.99,0.00,N/A
104.18.46.63,4,4,0.00,144.25,0.00,N/A
162.159.61.240,4,4,0.00,144.50,0.00,N/A
104.25.61.244,4,4,0.00,229.19,0.00,N/A
104.18.42.184,4,4,0.00,147.11,0.00,N/A
172.64.36.120,4,4,0.00,147.36,0.00,N/A
172.64.159.227,4,4,0.00,147.77,0.00,N/A
162.159.8.169,4,4,0.00,147.79,0.00,N/A
104.18.38.132,4,4,0.00,147.84,0.00,N/A
162.159.42.252,4,4,0.00,148.49,0.00,N/A
172.64.155.94,4,4,0.00,148.97,0.00,N/A
162.159.60.195,4,4,0.00,149.81,0.00,N/A
172.64.152.245,4,4,0.00,150.51,0.00,N/A
